"gene_compare","uchar","gene","compare"
"ENSG00000014824 HCC1395/HCC1395BL",0.525496375872345,"ENSG00000014824","HCC1395/HCC1395BL"
"ENSG00000014919 HCC1395/HCC1395BL",0.770752435237517,"ENSG00000014919","HCC1395/HCC1395BL"
"ENSG00000015133 HCC1395/HCC1395BL",9.04249663546326,"ENSG00000015133","HCC1395/HCC1395BL"
"ENSG00000015153 HCC1395/HCC1395BL",2.68210549284881,"ENSG00000015153","HCC1395/HCC1395BL"
"ENSG00000015171 HCC1395/HCC1395BL",2.12599095364718,"ENSG00000015171","HCC1395/HCC1395BL"
"ENSG00000015285 HCC1395/HCC1395BL",7.94198253837191,"ENSG00000015285","HCC1395/HCC1395BL"
"ENSG00000015475 HCC1395/HCC1395BL",2.48926578123447,"ENSG00000015475","HCC1395/HCC1395BL"
"ENSG00000015520 HCC1395/HCC1395BL",5.02543298399832,"ENSG00000015520","HCC1395/HCC1395BL"
"ENSG00000015532 HCC1395/HCC1395BL",0.608662635339446,"ENSG00000015532","HCC1395/HCC1395BL"
"ENSG00000015676 HCC1395/HCC1395BL",1.05415497162095,"ENSG00000015676","HCC1395/HCC1395BL"
"ENSG00000016391 HCC1395/HCC1395BL",0.688386260406456,"ENSG00000016391","HCC1395/HCC1395BL"
"ENSG00000017260 HCC1395/HCC1395BL",1.88328674775832,"ENSG00000017260","HCC1395/HCC1395BL"
"ENSG00000017797 HCC1395/HCC1395BL",0.806365497651615,"ENSG00000017797","HCC1395/HCC1395BL"
"ENSG00000018189 HCC1395/HCC1395BL",1.60227167505594,"ENSG00000018189","HCC1395/HCC1395BL"
"ENSG00000018280 HCC1395/HCC1395BL",4.59483444677163,"ENSG00000018280","HCC1395/HCC1395BL"
"ENSG00000018408 HCC1395/HCC1395BL",2.66904280677729,"ENSG00000018408","HCC1395/HCC1395BL"
"ENSG00000018510 HCC1395/HCC1395BL",0.605036632227123,"ENSG00000018510","HCC1395/HCC1395BL"
"ENSG00000018610 HCC1395/HCC1395BL",2.27998556068342,"ENSG00000018610","HCC1395/HCC1395BL"
"ENSG00000018699 HCC1395/HCC1395BL",0.620474563803785,"ENSG00000018699","HCC1395/HCC1395BL"
"ENSG00000019144 HCC1395/HCC1395BL",7.47510596634966,"ENSG00000019144","HCC1395/HCC1395BL"
"ENSG00000019485 HCC1395/HCC1395BL",1.78061993538492,"ENSG00000019485","HCC1395/HCC1395BL"
"ENSG00000019582 HCC1395/HCC1395BL",1.64210084530435,"ENSG00000019582","HCC1395/HCC1395BL"
"ENSG00000020129 HCC1395/HCC1395BL",1.43452426824691,"ENSG00000020129","HCC1395/HCC1395BL"
"ENSG00000020256 HCC1395/HCC1395BL",1.48646089231828,"ENSG00000020256","HCC1395/HCC1395BL"
"ENSG00000020426 HCC1395/HCC1395BL",1.14832879515846,"ENSG00000020426","HCC1395/HCC1395BL"
"ENSG00000020577 HCC1395/HCC1395BL",0.676653212469072,"ENSG00000020577","HCC1395/HCC1395BL"
