"gene_compare","fc_mean","p_mean","support_n","final","Confidence(%)"
"ENSG00000012660 HCC1395/HCC1395BL",0.559396943388115,0,8,"non-DEG",100
"ENSG00000012822 HCC1395/HCC1395BL",1.82595892382611,0,7.75,"non-DEG",96.875
"ENSG00000012963 HCC1395/HCC1395BL",0.903560904007431,1.36387470192344e-115,8,"non-DEG",100
"ENSG00000012983 HCC1395/HCC1395BL",2.41966563053952,0,8,"up-regulate",100
"ENSG00000013288 HCC1395/HCC1395BL",4.03951351436049,0,8,"up-regulate",100
"ENSG00000013306 HCC1395/HCC1395BL",0.788087509134269,1.41109985462766e-247,8,"non-DEG",100
"ENSG00000013374 HCC1395/HCC1395BL",4.70229806432276,0,8,"up-regulate",100
"ENSG00000013375 HCC1395/HCC1395BL",0.799275962686639,5.7861547650121e-208,8,"non-DEG",100
"ENSG00000013392 HCC1395/HCC1395BL",0.483093936793326,0,6,"down-regulate",75
"ENSG00000013441 HCC1395/HCC1395BL",0.85635989759762,2.32626729587361e-241,8,"non-DEG",100
"ENSG00000013503 HCC1395/HCC1395BL",0.92815437762441,9.42901940761921e-61,8,"non-DEG",100
"ENSG00000013523 HCC1395/HCC1395BL",1.2717155201645,2.78134232314995e-309,8,"non-DEG",100
"ENSG00000013563 HCC1395/HCC1395BL",2.94868191680712,0,8,"up-regulate",100
"ENSG00000013573 HCC1395/HCC1395BL",1.03395024010264,4.92604707226371e-05,8,"non-DEG",100
"ENSG00000013583 HCC1395/HCC1395BL",18.0169024125316,0,8,"up-regulate",100
"ENSG00000013588 HCC1395/HCC1395BL",1.07040324617923,0.000860608536681348,8,"non-DEG",100
"ENSG00000014138 HCC1395/HCC1395BL",0.797904948334343,4.06967195411374e-182,8,"non-DEG",100
"ENSG00000014164 HCC1395/HCC1395BL",2.15882253511802,0,6.5,"up-regulate",81.25
"ENSG00000014216 HCC1395/HCC1395BL",1.8933730366353,0,8,"non-DEG",100
"ENSG00000014641 HCC1395/HCC1395BL",0.30458196969689,0,8,"down-regulate",100
"ENSG00000014824 HCC1395/HCC1395BL",0.772954664600985,0,8,"non-DEG",100
"ENSG00000014919 HCC1395/HCC1395BL",0.714077872684944,1.85422821542303e-309,8,"non-DEG",100
"ENSG00000015133 HCC1395/HCC1395BL",0.181738866533786,2.81333188472017e-294,7.75,"down-regulate",96.875
"ENSG00000015153 HCC1395/HCC1395BL",0.28171350155535,0,8,"down-regulate",100
"ENSG00000015171 HCC1395/HCC1395BL",2.29090622393568,0,6.5,"up-regulate",81.25
"ENSG00000015285 HCC1395/HCC1395BL",0.0175589884023369,0,8,"down-regulate",100
"ENSG00000015475 HCC1395/HCC1395BL",0.289049963466464,0,8,"down-regulate",100
"ENSG00000015520 HCC1395/HCC1395BL",1.99074910609864,1.47450765316347e-117,5,"up-regulate",62.5
"ENSG00000015532 HCC1395/HCC1395BL",1.02500747691922,8.38383683186166e-17,8,"non-DEG",100
