Sample	5_3_bias	reads_aligned_overlapping_exon	reads_aligned_genes	reads_aligned_exonic	total_alignments	reads_aligned_intronic	not_aligned	bam_file	non_unique_alignments	reads_aligned	reads_aligned_intergenic	ambiguous_alignments
SEQ_PolyA_HCC1395BL_2	1.29	3398272.0	67699724.0	67699724.0	95222760.0	13443734.0	1137210.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	8338212.0	44869579.0	2314352.0	3388278.0
SEQ_PolyA_HCC1395BL_3	1.32	4512650.0	86424310.0	86424310.0	122613110.0	18634082.0	1299600.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	10176764.0	57947455.0	3183104.0	4143754.0
SEQ_PolyA_HCC1395BL_4	1.3	4157510.0	77853240.0	77853240.0	110368728.0	16328400.0	1006568.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_4.Aligned.sortedByCoord.out.bam	9583754.0	52018496.0	2766642.0	3792032.0
SEQ_PolyA_HCC1395BL_5	1.25	4112375.0	77264834.0	77264834.0	108568428.0	15832472.0	1096696.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_5.Aligned.sortedByCoord.out.bam	8962742.0	51337893.0	2727218.0	3737398.0
SEQ_PolyA_HCC1395BL_6	1.3	3997664.0	73770426.0	73770426.0	104204162.0	15552140.0	951280.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_6.Aligned.sortedByCoord.out.bam	8636534.0	49260632.0	2620746.0	3582460.0
SEQ_PolyA_HCC1395_1	1.24	3704904.0	71353536.0	71353536.0	96025454.0	11774912.0	491702.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	7167978.0	45664317.0	1664134.0	4045620.0
SEQ_PolyA_HCC1395_2	1.26	3289257.0	61806106.0	61806106.0	82884564.0	10245632.0	386550.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	5899484.0	39515666.0	1457286.0	3459570.0
SEQ_PolyA_HCC1395_3	1.28	3473923.0	68228702.0	68228702.0	92373072.0	11473250.0	427142.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	7159182.0	43813882.0	1603632.0	3889496.0
SEQ_PolyA_HCC1395_4	1.25	3932211.0	76504036.0	76504036.0	102920082.0	12600472.0	461250.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_4.Aligned.sortedByCoord.out.bam	7637678.0	48953698.0	1852206.0	4305324.0
SEQ_PolyA_HCC1395_5	1.23	4057809.0	79303878.0	79303878.0	106552906.0	12897598.0	504682.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_5.Aligned.sortedByCoord.out.bam	7953248.0	50675055.0	1869716.0	4506580.0
