Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MGI_PolyA_HCC1395BL_3_1_R2	MGI_PolyA_HCC1395BL_3_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39119397.0	5.8 Gbp	0.0	31-150	47.0	49.144372190764585	149.9292538686115	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_3_2_R1	MGI_PolyA_HCC1395BL_3_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39025739.0	5.8 Gbp	0.0	31-150	47.0	49.4948716320786	149.92920902791872	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_3_2_R2	MGI_PolyA_HCC1395BL_3_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39025739.0	5.8 Gbp	0.0	31-150	47.0	48.88091155701686	149.92920902791872	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_3_3_R1	MGI_PolyA_HCC1395BL_3_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38248427.0	5.7 Gbp	0.0	31-150	47.0	49.69617689204879	149.93077108765806	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_3_3_R2	MGI_PolyA_HCC1395BL_3_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38248427.0	5.7 Gbp	0.0	31-150	47.0	49.37383811402778	149.93077108765806	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_3_R1	MGI_PolyA_HCC1395BL_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22653597.0	3.3 Gbp	0.0	31-150	46.0	54.22573434904383	149.93177273348687	150	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395BL_3_R2	MGI_PolyA_HCC1395BL_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22653597.0	3.3 Gbp	0.0	31-150	46.0	53.657239503303366	149.93177273348687	150	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395_0313_1_R1	MGI_PolyA_HCC1395_0313_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40053439.0	6 Gbp	0.0	31-150	48.0	54.69620300023361	149.9250460116546	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
MGI_PolyA_HCC1395_0313_1_R2	MGI_PolyA_HCC1395_0313_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40053439.0	6 Gbp	0.0	31-150	48.0	56.6195305353007	149.9250460116546	150	pass	pass		pass	pass	pass	pass	warn	warn	pass	pass
MGI_PolyA_HCC1395_0313_2_R1	MGI_PolyA_HCC1395_0313_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39967794.0	5.9 Gbp	0.0	31-150	48.0	54.59486761861279	149.92311782331544	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
MGI_PolyA_HCC1395_0313_2_R2	MGI_PolyA_HCC1395_0313_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39967794.0	5.9 Gbp	0.0	31-150	48.0	56.24955064539893	149.92311782331544	150	pass	pass		pass	pass	pass	pass	warn	warn	pass	pass
MGI_PolyA_HCC1395_0313_3_R1	MGI_PolyA_HCC1395_0313_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40021695.0	6 Gbp	0.0	31-150	48.0	53.48895002885985	149.9264391225809	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
MGI_PolyA_HCC1395_0313_3_R2	MGI_PolyA_HCC1395_0313_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40021695.0	6 Gbp	0.0	31-150	48.0	55.24787118306167	149.9264391225809	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
MGI_PolyA_HCC1395_1_1_R1	MGI_PolyA_HCC1395_1_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39113983.0	5.8 Gbp	0.0	31-150	48.0	48.186459921696986	149.92791728727806	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_1_1_R2	MGI_PolyA_HCC1395_1_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39113983.0	5.8 Gbp	0.0	31-150	48.0	47.65853944399535	149.92791728727806	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_1_2_R1	MGI_PolyA_HCC1395_1_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39228675.0	5.8 Gbp	0.0	31-150	48.0	48.674584304053106	149.92528580177637	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_1_2_R2	MGI_PolyA_HCC1395_1_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39228675.0	5.8 Gbp	0.0	31-150	48.0	48.13642328739196	149.92528580177637	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_1_3_R1	MGI_PolyA_HCC1395_1_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39120501.0	5.8 Gbp	0.0	31-150	48.0	48.64349423918858	149.92634562629962	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
