Sample	total_alignments	reads_aligned_exonic	reads_aligned	non_unique_alignments	reads_aligned_overlapping_exon	bam_file	ambiguous_alignments	reads_aligned_intergenic	reads_aligned_intronic	not_aligned	5_3_bias	reads_aligned_genes
SEQ_RiboZero_HCC1395BL_3	144998828.0	40098832.0	64740120.0	20761862.0	8647403.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_3.Aligned.sortedByCoord.out.bam	3508156.0	6130698.0	74409968.0	1378558.0	0.99	40098832.0
SEQ_RiboZero_HCC1395BL_4	154307062.0	42703392.0	68526288.0	22614014.0	9293594.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_4.Aligned.sortedByCoord.out.bam	3654610.0	6407986.0	78834952.0	1826578.0	1.02	42703392.0
SEQ_RiboZero_HCC1395BL_5	160740542.0	42436466.0	69713603.0	27684148.0	9225113.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_5.Aligned.sortedByCoord.out.bam	3694584.0	6555744.0	80275180.0	1214370.0	0.99	42436466.0
SEQ_RiboZero_HCC1395BL_6	158952504.0	42307636.0	69679400.0	26097658.0	9292809.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_6.Aligned.sortedByCoord.out.bam	3842324.0	6542094.0	80066740.0	1217122.0	0.98	42307636.0
SEQ_RiboZero_HCC1395_1	160703212.0	48287166.0	67699746.0	32344744.0	10233206.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_1.Aligned.sortedByCoord.out.bam	9431392.0	4698284.0	65879554.0	1543156.0	0.96	48287166.0
SEQ_RiboZero_HCC1395_2	156912182.0	45672172.0	64840131.0	34584464.0	9774794.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_2.Aligned.sortedByCoord.out.bam	8818540.0	4506206.0	63270348.0	983740.0	0.92	45672172.0
SEQ_RiboZero_HCC1395_3	142722440.0	42554750.0	59354078.0	30554512.0	8992569.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_3.Aligned.sortedByCoord.out.bam	8273418.0	4113364.0	57172620.0	1328840.0	1.0	42554750.0
SEQ_RiboZero_HCC1395_4	168930114.0	50392136.0	71120514.0	34286180.0	10780976.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_4.Aligned.sortedByCoord.out.bam	9776792.0	4909906.0	69501402.0	842560.0	0.94	50392136.0
SEQ_RiboZero_HCC1395_5	153332438.0	44032316.0	62297627.0	36082872.0	9524343.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_5.Aligned.sortedByCoord.out.bam	8465464.0	4380712.0	60314324.0	1062272.0	0.96	44032316.0
SEQ_RiboZero_HCC1395_6	154211786.0	45182092.0	64130145.0	33643942.0	9573539.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_6.Aligned.sortedByCoord.out.bam	8956038.0	4529664.0	61841396.0	727428.0	0.93	45182092.0
