Sample	sequenced_bases	general_error_rate	mapped_bases	mapped_reads	total_reads	bam_file	median_insert_size	mean_coverage	mean_insert_size	mean_mapping_quality
NVG_PolyA_HCC1395_3	9294970562.0	0.0002	103875586378.0	63068349.0	67428442.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	379.0	33.5109	3189.7795	20.2385
SEQ_PolyA_HCC1395BL_1	13321427682.0	0.0002	159774921036.0	94893124.0	96044302.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_1.Aligned.sortedByCoord.out.bam	233.0	51.5444	2224.7313	20.8758
SEQ_PolyA_HCC1395BL_2	12707305392.0	0.0002	150936542654.0	89739158.0	90876368.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	239.0	48.6931	2255.6454	20.4337
SEQ_PolyA_HCC1395BL_3	16615778178.0	0.0002	193651910665.0	115894910.0	117194510.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	249.0	62.4734	2338.5442	21.6515
SEQ_PolyA_HCC1395BL_4	14806422747.0	0.0002	173750072172.0	104036992.0	105043560.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_4.Aligned.sortedByCoord.out.bam	248.0	56.0529	2319.8751	21.4009
SEQ_PolyA_HCC1395BL_5	14616314318.0	0.0002	172821095664.0	102675786.0	103772482.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_5.Aligned.sortedByCoord.out.bam	255.0	55.7532	2376.9341	20.4177
SEQ_PolyA_HCC1395BL_6	14123847484.0	0.0002	164896148331.0	98521264.0	99472544.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_6.Aligned.sortedByCoord.out.bam	253.0	53.1966	2352.5528	19.9665
SEQ_PolyA_HCC1395_1	13060681237.0	0.0002	154972808136.0	91328634.0	91820336.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	262.0	49.9952	2371.5981	20.9991
SEQ_PolyA_HCC1395_2	11406639000.0	0.0002	134736715666.0	79031332.0	79417882.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	272.0	43.467	2430.9941	20.2947
SEQ_PolyA_HCC1395_3	12506922429.0	0.0002	148011973258.0	87627764.0	88054906.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	254.0	47.7496	2320.4573	21.3635
