Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-avg_gc
MGI_PolyA_HCC1395_2_2_bamqc				3.18967813849862	1.1599122404010038	9.251890622515536	0	0.8662784669770338	415	2.1108881956229615		48.74727385150322
MGI_PolyA_HCC1395_2_3	37.0812	0.02	70982214.0								78559404.0	
MGI_PolyA_HCC1395_2_3_bamqc				3.2308827422295963	1.1776825080809612	9.29355826348098	0	0.8827441458794106	409	2.139811811796151		48.792900239149326
MGI_PolyA_HCC1395_2_bamqc				2.5028018398220113	0.8724468017043944	7.826439351759511	0	0.6147231740071816	396	1.6451309682380724		46.87992439768639
MGI_PolyA_HCC1395_3	20.0608	0.02	40682784.0								45122534.0	
MGI_PolyA_HCC1395_3_1	36.085	0.02	68819666.0								75702836.0	
MGI_PolyA_HCC1395_3_1_bamqc				3.146353009409965	1.1508249290128885	9.07963002849444	0	0.8615990906917825	410	2.0873724659300166		48.92355981952557
MGI_PolyA_HCC1395_3_2	31.5557	0.02	59826590.0								65764738.0	
MGI_PolyA_HCC1395_3_2_bamqc				2.9430103675840167	1.0767707482469886	8.662428157230933	0	0.7958321569779857	448	1.955950155860243		48.886256056304894
MGI_PolyA_HCC1395_3_3	37.1322	0.02	71067262.0								78278420.0	
MGI_PolyA_HCC1395_3_3_bamqc				3.2473201285342843	1.177183532472691	9.439019573444293	0	0.880956937647526	424	2.1470146490663704		48.61938783739871
MGI_PolyA_HCC1395_3_bamqc				2.4579074877723763	0.8758856588802636	7.529489763311993	0	0.6197030583283182	399	1.6274342871206329		47.55850303584697
MGI_RiboZero_HCC1395BL_1	26.6085	0.03	58400696.0								76287994.0	
MGI_RiboZero_HCC1395BL_1_bamqc				9.831284278131426	1.299214926095228	23.36100054094737	0	0.7319307281147632	248	4.946499184906391		47.034839258170535
MGI_RiboZero_HCC1395BL_2	34.0798	0.03	75045818.0								76114964.0	
MGI_RiboZero_HCC1395BL_2_bamqc				11.849368494928115	1.747835581919204	25.250388441074634	0	0.9616496199808284	247	6.462841183863224		47.17835838557722
MGI_RiboZero_HCC1395BL_3	25.3884	0.03	59102998.0								75863312.0	
MGI_RiboZero_HCC1395BL_3_bamqc				10.409068159138338	1.354785426974454	24.134066512376883	0	0.7462817853600059	257	5.293271812059308		46.61078056716181
MGI_RiboZero_HCC1395_1	26.152	0.03	58307670.0								76290278.0	
MGI_RiboZero_HCC1395_1_bamqc				8.573006869773714	1.1967308462770392	22.219259471432114	0	0.7200472886542614	251	4.18469937749362		48.38576390692553
MGI_RiboZero_HCC1395_2	26.0547	0.03	58660934.0								75914744.0	
MGI_RiboZero_HCC1395_2_bamqc				8.71616654304135	1.2192068149397555	22.509717183006067	0	0.7288507385063859	257	4.276930471542518		48.383501674235355
MGI_RiboZero_HCC1395_3	27.2497	0.03	60133850.0								76585688.0	
MGI_RiboZero_HCC1395_3_bamqc				8.781695135008595	1.2396543946860696	22.565350947037025	0	0.7429775519129341	259	4.3314680506511625		48.716382866295184
NVG_PolyA_HCC1395BL_1	34.5055	0.03	65532197.0								70573488.0	
NVG_PolyA_HCC1395BL_1_bamqc				4.336848128443599	1.201970719246721	11.425775367785558	0	0.8757282591264166	333	2.5131421551944295		49.661821960739566
NVG_PolyA_HCC1395BL_2	33.1483	0.03	61842915.0								66523160.0	
NVG_PolyA_HCC1395BL_2_bamqc				4.138410848817166	1.1699364658393798	11.248311226296488	0	0.8488821971135035	338	2.419690285559279		49.74410200648917
NVG_PolyA_HCC1395BL_3	35.6745	0.03	66499781.0								73305298.0	
