Compare,Gene,FC_mean,P_mean,Suppoorted_Tools,DEG. Type,uchar,homoge,ubb_1_logFC,uwb_1_logFC,uhom_logFC,long_stability,ulst,kd_stability,uskd,dw4_stability,usw4,dw24_stability,usw25,dwCO2_stability,usco2
HCC1395/HCC1395BL,ENSG00000105516,2.023939941,1.12E-233,3,up-regulate,0.030202462,FALSE,0.015295352,0.007775285,0.017186448,FALSE,0.132351342,FALSE,0.023694915,FALSE,0.001234198,FALSE,8.63E-05,FALSE,0.003506468
HCC1395/HCC1395BL,ENSG00000105518,0.978340157,0.007903024,2,non-DEG,0.026922341,FALSE,0.00824138,0.007792094,0.012297101,FALSE,0.137880255,FALSE,0.007753615,FALSE,0.005435087,FALSE,0.000127546,FALSE,0.004808023
HCC1395/HCC1395BL,ENSG00000105519,0.610123733,2.33E-132,2,non-DEG,0.022804997,FALSE,0.021297564,0.010009687,0.024195577,FALSE,0.082277701,FALSE,0.03857254,FALSE,0.004277443,FALSE,0.000464479,FALSE,0.004709809
HCC1395/HCC1395BL,ENSG00000105520,15.3213614,0,2,up-regulate,0.049715903,FALSE,0.00405898,0.011324439,0.013297209,FALSE,0.087650374,FALSE,0.022192011,FALSE,0.002881413,FALSE,0.000340449,FALSE,0.006512735
HCC1395/HCC1395BL,ENSG00000105552,0.333256771,0,4,down-regulate,0.009891402,FALSE,0.007540575,0.003275551,0.008226872,FALSE,0.048051102,FALSE,0.034118453,FALSE,0.004280695,TRUE,3.91E-05,FALSE,0.003381925
HCC1395/HCC1395BL,ENSG00000105556,1.706681174,1.21E-250,3,non-DEG,0.015740929,FALSE,0.010743997,0.009192705,0.015029167,FALSE,0.1021233,FALSE,0.008781505,FALSE,0.004294176,FALSE,3.69E-05,FALSE,0.005977207
HCC1395/HCC1395BL,ENSG00000105559,2.506155357,0.00E+00,2,up-regulate,0.034313626,FALSE,0.019650227,0.008092761,0.021350228,FALSE,0.207239731,FALSE,0.00949595,FALSE,0.006014638,TRUE,4.38E-05,FALSE,0.003993308
HCC1395/HCC1395BL,ENSG00000105568,1.203232893,2.52E-206,2,non-DEG,0.008172313,FALSE,0.024557013,0.009644501,0.026442761,FALSE,0.038112941,FALSE,0.022043168,FALSE,0.001572159,FALSE,0.000122895,FALSE,0.000953963
HCC1395/HCC1395BL,ENSG00000105576,2.61467202,0,3,up-regulate,0.005921618,FALSE,0.005990484,0.002356528,0.006440452,FALSE,0.037811885,FALSE,0.004568806,FALSE,0.001045402,FALSE,3.78E-05,FALSE,0.000746089
HCC1395/HCC1395BL,ENSG00000105607,0.677243648,3.40E-304,3,non-DEG,0.023150956,FALSE,0.014412647,0.003617726,0.014864922,FALSE,0.067319304,FALSE,0.025544498,FALSE,0.003430085,FALSE,0.000558511,FALSE,0.002090572
HCC1395/HCC1395BL,ENSG00000105612,2.298718741,0,3,up-regulate,0.012459079,FALSE,0.006500215,0.002902173,0.00721831,FALSE,0.096569457,FALSE,0.008193162,FALSE,0.001533208,TRUE,8.56E-05,TRUE,0.002012492
HCC1395/HCC1395BL,ENSG00000105613,3.671746471,3.61E-281,3,up-regulate,0.037652396,FALSE,0.027988195,0.031406501,0.045054791,FALSE,0.135956579,FALSE,0.003017874,TRUE,0.004217889,FALSE,0.00059065,FALSE,0.012746111
HCC1395/HCC1395BL,ENSG00000105618,1.589044124,1.30E-296,2,non-DEG,0.00694746,FALSE,0.006394553,0.004997153,0.009528116,FALSE,0.029912452,FALSE,0.017909703,FALSE,0.002328155,FALSE,0.000212997,FALSE,0.001408508
HCC1395/HCC1395BL,ENSG00000105639,0.24008254,0,3,down-regulate,0.022557362,FALSE,0.011637246,0.002743842,0.011985029,FALSE,0.245850518,TRUE,0.00041572,FALSE,0.001823391,FALSE,0.000124233,FALSE,0.003780331
HCC1395/HCC1395BL,ENSG00000105640,1.072252757,1.85E-33,3,non-DEG,0.010306363,FALSE,0.010631784,0.007698745,0.013223982,FALSE,0.080265447,FALSE,0.020702204,FALSE,0.001534642,FALSE,0.000294822,FALSE,0.003747282
HCC1395/HCC1395BL,ENSG00000105641,0.300688066,5.86E-180,2,down-regulate,0.03370598,FALSE,0.022668997,0.034284905,0.042603038,FALSE,0.181505591,FALSE,0.066644574,FALSE,0.015210893,FALSE,0.004042341,FALSE,0.01696974
HCC1395/HCC1395BL,ENSG00000105642,0.061240361,0,2,down-regulate,0.027848412,FALSE,0.002719889,0.008031943,0.01000776,FALSE,0.169134248,FALSE,0.004302928,FALSE,0.008240099,FALSE,0.000158877,FALSE,0.004987129
HCC1395/HCC1395BL,ENSG00000105643,1.161431108,1.95E-102,3,non-DEG,0.017349593,FALSE,0.016588326,0.005119093,0.01778687,FALSE,0.111375266,FALSE,0.008592047,FALSE,0.00686858,FALSE,0.000129498,TRUE,0.000445834
HCC1395/HCC1395BL,ENSG00000105649,2.485428157,1.06E-233,3,up-regulate,0.030759867,FALSE,0.032571837,0.014540622,0.035790665,FALSE,0.122359101,FALSE,0.02121254,FALSE,0.008135648,FALSE,0.00156514,FALSE,0.010767121
HCC1395/HCC1395BL,ENSG00000105655,3.157151723,0,4,up-regulate,0.01116619,FALSE,0.007472347,0.005035972,0.009022884,FALSE,0.138758276,FALSE,0.01962278,FALSE,0.004778568,FALSE,0.000456139,FALSE,0.002206923
HCC1395/HCC1395BL,ENSG00000105656,0.816856727,1.83E-198,3,non-DEG,0.023183922,FALSE,0.107599216,0.055221213,0.121013098,FALSE,0.066011585,FALSE,0.004065014,FALSE,0.000900796,TRUE,5.94E-05,FALSE,0.005576807
HCC1395/HCC1395BL,ENSG00000105662,3.046789125,0,2,up-regulate,0.02665642,FALSE,0.009910562,0.005990045,0.012083855,FALSE,0.09476662,FALSE,0.022148045,FALSE,0.00447967,FALSE,0.000575598,TRUE,0.001671481
HCC1395/HCC1395BL,ENSG00000105669,1.278678105,3.28E-233,3,non-DEG,0.011927968,FALSE,0.011938823,0.003664295,0.012546583,FALSE,0.075802622,FALSE,0.019723037,FALSE,0.000986161,FALSE,0.000028649,FALSE,0.00166734
HCC1395/HCC1395BL,ENSG00000105671,1.731146146,0,4,non-DEG,0.006274367,FALSE,0.004867318,0.003285287,0.005923906,FALSE,0.061290496,FALSE,0.018330651,FALSE,0.001617175,FALSE,7.75E-05,FALSE,0.002501911
