"gene_compare","fc_mean","p_mean","freq","N_non","N_down","final","compare","usample","gene","uchar","homoge","ubb_1_logFC","uwb_1_logFC","uhom_logFC","long_stability","ulst","kd_stability","uskd","dw4_stability","usw4","dw24_stability","usw25","dwCO2_stability","usco2","uts","uc","U"
"ENSG00000072121 HCC1395/HCC1395BL",0.910562198,8.06e-132,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000072121",0.01438306,FALSE,0.004261304,0.003241099,0.005502553,FALSE,0.063722145,"FALSE","0.00646162","FALSE",0.00128092,"FALSE","0.000410968","FALSE",0.004542062,0.0638966575546739,0.0657261998836132,0.131452399767226
"ENSG00000072134 HCC1395/HCC1395BL",2.425231146,0,2,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072134",0.020619158,FALSE,0.0199148,0.007714351,0.024379828,FALSE,0.120501664,"FALSE","0.029686833","FALSE",0.00520779,"FALSE","0.00035842","FALSE",0.00367508,0.120670121887978,0.124823090838186,0.249646181676371
"ENSG00000072135 HCC1395/HCC1395BL",0.381932371,0,2,0,2,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072135",0.018827247,FALSE,0.009310148,0.003280566,0.009891876,FALSE,0.107295235,"FALSE","0.008219364","FALSE",0.001703974,"FALSE","4.00416E-05","FALSE",0.001668418,0.107321734051033,0.109408724698348,0.218817449396697
"ENSG00000072201 HCC1395/HCC1395BL",0.085733693,0,2,0,2,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072201",0.135736309,FALSE,0.031997762,0.018266047,0.037199029,FALSE,0.651069104,"FALSE","0.013281452","FALSE",0.019635657,"FALSE","0.00051184","FALSE",0.02667782,0.651911223472289,0.666930548579553,1.33386109715911
"ENSG00000072210 HCC1395/HCC1395BL",13.93686679,0,4,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072210",0.006011661,FALSE,0.009807862,0.002755696,0.010189266,FALSE,0.077719585,"FALSE","0.003415619","FALSE",0.000562779,"FALSE","2.47046E-05","FALSE",0.000750988,0.0777252506959689,0.0786204541156364,0.157240908231273
"ENSG00000072274 HCC1395/HCC1395BL",2.342606304,0,2,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072274",0.022245154,FALSE,0.008374061,0.002308481,0.008757705,FALSE,0.131147431,"FALSE","0.009936046","FALSE",0.000391676,"FALSE","2.06216E-05","FALSE",0.000977784,0.131151660795963,0.133312799096299,0.266625598192598
"ENSG00000072310 HCC1395/HCC1395BL",2.589458039,0,2,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072310",0.011304461,FALSE,0.006464386,0.002311859,0.006945596,FALSE,0.078911988,"FALSE","0.02003474","FALSE",0.002011471,"FALSE","0.000195148","FALSE",0.001585729,0.0789535458491728,0.0800605679748349,0.16012113594967
"ENSG00000072364 HCC1395/HCC1395BL",2.59913464,0,3,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072364",0.009628374,FALSE,0.006030616,0.003404077,0.006925702,FALSE,0.037990553,"FALSE","0.024461615","FALSE",0.001518057,"FALSE","9.51551E-05","FALSE",0.000602533,0.0380256447718792,0.0398324063344637,0.0796648126689275
"ENSG00000072401 HCC1395/HCC1395BL",0.991490555,4.45e-14,3,3,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000072401",0.011940943,FALSE,0.153435731,0.020909522,0.155371215,FALSE,0.075689931,"FALSE","0.030498703","FALSE",0.002399528,"FALSE","0.000357606","FALSE",0.004524301,0.0758629862907211,0.173314723146222,0.346629446292444
"ENSG00000072415 HCC1395/HCC1395BL",3.04767327,0,2,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072415",0.018200321,FALSE,0.007719903,0.004265425,0.008849124,FALSE,0.101598958,"FALSE","0.013834114","FALSE",0.00383981,"FALSE","0.000129002","FALSE",0.002016815,0.10169149399171,0.103685672251939,0.207371344503878
"ENSG00000072422 HCC1395/HCC1395BL",45.84910565,0,3,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072422",0.05485466,FALSE,0.348465585,0.044296016,0.351555683,FALSE,0.19062981,"TRUE","0.007341437","FALSE",0.007608939,"FALSE","0.000376397","FALSE",0.007277563,0.190920358622544,0.403795759400557,0.807591518801115
"ENSG00000072501 HCC1395/HCC1395BL",0.516227579,0,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000072501",0.0056981,FALSE,0.003151271,0.002901036,0.004299897,FALSE,0.024913053,"TRUE","0.001094776","FALSE",0.001806003,"FALSE","2.34276E-05","FALSE",0.001480503,0.0250222650003917,0.0260205919142981,0.0520411838285962
"ENSG00000072506 HCC1395/HCC1395BL",0.659557004,0,3,3,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000072506",0.014278113,FALSE,0.012043623,0.002771733,0.012380605,FALSE,0.017680069,"FALSE","0.027153864","FALSE",0.003501282,"FALSE","0.000292707","FALSE",0.001359493,0.0180746241096553,0.0261502567427574,0.0523005134855148
"ENSG00000072518 HCC1395/HCC1395BL",2.333388083,0,4,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072518",0.005754817,FALSE,0.002942428,0.003235547,0.004748672,FALSE,0.064090144,"FALSE","0.001995247","FALSE",0.001923585,"FALSE","0.000293832","FALSE",0.001255171,0.0641312887086499,0.0645638443395317,0.129127688679063
"ENSG00000072571 HCC1395/HCC1395BL",0.501913956,0,3,0,3,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072571",0.012928803,FALSE,0.012762426,0.005129712,0.013757747,FALSE,0.084845984,"FALSE","0.022116974","FALSE",0.001739682,"FALSE","0.000109317","FALSE",0.001217437,0.08487254943289,0.0869469907286455,0.173893981457291
"ENSG00000072609 HCC1395/HCC1395BL",0.509021998,0,2,0,2,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072609",0.018070842,FALSE,0.006101136,0.00316323,0.006874434,FALSE,0.037361006,"FALSE","0.012599411","FALSE",0.001479042,"FALSE","0.000335256","FALSE",0.00133381,0.0374140532913222,0.0421144221982829,0.0842288443965657
"ENSG00000072682 HCC1395/HCC1395BL",10.12095386,0,2,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072682",0.011265587,FALSE,0.020509457,0.009018813,0.022416275,FALSE,0.083445427,"FALSE","0.013194984","FALSE",0.006664014,"FALSE","0.000579405","FALSE",0.001059897,0.0837178102404449,0.0873960787838066,0.174792157567613
"ENSG00000072756 HCC1395/HCC1395BL",0.910444093,1.77e-116,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000072756",0.011901961,FALSE,0.006143676,0.002612655,0.006688087,FALSE,0.059346749,"FALSE","0.032297295","FALSE",0.00113814,"FALSE","0.000181757","FALSE",0.000921451,0.0593648132438232,0.0609144337151639,0.121828867430328
"ENSG00000072778 HCC1395/HCC1395BL",2.08963897,0,3,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072778",0.004642893,FALSE,0.006249442,0.00267479,0.006798014,FALSE,0.01096003,"FALSE","0.019003226","FALSE",0.001490231,"FALSE","0.000116469","FALSE",0.001626917,0.011179888414432,0.0138837802745792,0.0277675605491584
"ENSG00000072786 HCC1395/HCC1395BL",0.140388589,0,2,0,2,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000072786",0.009550077,FALSE,0.004641805,0.002023202,0.005072441,FALSE,0.069079848,"FALSE","0.012707111","FALSE",0.00284834,"FALSE","0.000234897","FALSE",0.000747405,0.0691425849581336,0.0699830742615466,0.139966148523093
"ENSG00000072803 HCC1395/HCC1395BL",1.176558448,1.03e-279,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000072803",0.00710106,FALSE,0.005636932,0.003254378,0.006658534,FALSE,0.063712272,"FALSE","0.005126269","FALSE",0.000550597,"TRUE","5.19579E-05","FALSE",0.00102225,0.0637228511251725,0.064462104244848,0.128924208489696
"ENSG00000072849 HCC1395/HCC1395BL",1.336804813,0,3,3,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000072849",0.01165818,FALSE,0.010032725,0.003177181,0.010525984,FALSE,0.116306885,"TRUE","0.001703139","FALSE",0.00098224,"FALSE","0.000199528","FALSE",0.002122516,0.116330397437605,0.117385990936192,0.234771981872384
"ENSG00000072864 HCC1395/HCC1395BL",0.778670455,2.02e-283,4,4,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000072864",0.021230404,FALSE,0.002247869,0.003882933,0.005454283,FALSE,0.148939822,"FALSE","0.004846766","FALSE",0.001798846,"TRUE","7.45993E-06","FALSE",0.001040475,0.148954318542797,0.150558521079334,0.301117042158668
